[2025-03-14T18:13:20.788] [INFO] uzp - Logger initialized for uzp
[2025-03-14T18:13:20.789] [INFO] database - Database: uzp connection pool initialized
[2025-03-14T18:13:20.790] [INFO] uzp - Running model: uzp
[2025-03-14T18:13:21.027] [INFO] uzp - Found largest id: 2, starting with 3
[2025-03-14T18:13:21.238] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 3
[2025-03-14T18:13:21.313] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 4
[2025-03-14T18:13:21.399] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 5
[2025-03-14T18:13:21.484] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 6
[2025-03-14T18:13:21.555] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 7
[2025-03-14T18:13:21.647] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 8
[2025-03-14T18:13:21.751] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 9
[2025-03-14T18:13:21.847] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 10
[2025-03-14T18:13:21.956] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 11
[2025-03-14T18:13:22.049] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 12
[2025-03-14T18:13:24.542] [INFO] uzp - Logger initialized for uzp
[2025-03-14T18:13:24.543] [INFO] database - Database: uzp connection pool initialized
[2025-03-14T18:13:24.545] [INFO] uzp - Running model: uzp
[2025-03-14T18:13:24.787] [INFO] uzp - Found largest id: 12, starting with 13
[2025-03-14T18:13:24.943] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 13
[2025-03-14T18:13:25.036] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 14
[2025-03-14T18:13:25.128] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 15
[2025-03-14T18:13:25.244] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 16
[2025-03-14T18:13:25.335] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 17
[2025-03-14T18:13:25.830] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 18
[2025-03-14T18:13:25.916] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 19
[2025-03-14T18:13:25.975] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 20
[2025-03-14T18:13:26.205] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 21
[2025-03-14T18:13:26.323] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 22
[2025-03-14T18:13:26.464] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 23
[2025-03-14T18:13:26.569] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 24
[2025-03-14T18:13:26.660] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 25
[2025-03-14T18:13:26.757] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 26
[2025-03-14T18:13:26.850] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 27
[2025-03-14T18:13:26.989] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 28
[2025-03-14T18:13:27.669] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 29
[2025-03-14T18:13:27.741] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 30
[2025-03-14T18:13:27.861] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 31
[2025-03-14T18:13:27.954] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 32
